order_id,customer_id,amount,currency,status,created_at,updated_at
100044,C0063,79.93,USD,refunded,2026-08-29T06:19:32+0000,2026-08-29T07:32:32+0000
100045,C0023,88.09,USD,completed,2026-08-29T05:59:32+0000,2026-08-29T07:24:32+0000
100046,C0013,133.49,USD,completed,2026-08-29T07:02:32+0000,2026-08-29T07:26:32+0000
100047,C0054,36.23,USD,completed,2026-08-29T06:38:32+0000,2026-08-29T07:21:32+0000
100048,C0002,92.37,USD,completed,2026-08-29T04:57:32+0000,2026-08-29T07:20:32+0000
100049,C0024,84.39,USD,completed,2026-08-29T04:30:32+0000,2026-08-29T07:16:32+0000
100050,C0003,59.83,USD,completed,2026-08-29T05:15:32+0000,2026-08-29T07:20:32+0000
100051,C0016,80.36,USD,pending,2026-08-29T05:11:32+0000,2026-08-29T07:15:32+0000
100052,C0053,61.71,USD,refunded,2026-08-29T04:21:32+0000,2026-08-29T07:19:32+0000
100053,C0050,83.03,USD,completed,2026-08-29T04:59:32+0000,2026-08-29T07:24:32+0000
100054,C0032,71.21,USD,completed,2026-08-29T05:03:32+0000,2026-08-29T07:26:32+0000
100055,C0058,42.12,USD,completed,2026-08-29T07:24:32+0000,2026-08-29T07:28:32+0000
100056,C0065,60.87,USD,pending,2026-08-29T06:40:32+0000,2026-08-29T07:23:32+0000
100057,C0069,82.72,USD,pending,2026-08-29T06:38:32+0000,2026-08-29T07:35:32+0000
100058,C0065,35.93,USD,refunded,2026-08-29T07:07:32+0000,2026-08-29T07:19:32+0000
100059,C0017,46.11,USD,completed,2026-08-29T06:39:32+0000,2026-08-29T07:28:32+0000
100060,C0025,118.28,USD,completed,2026-08-29T05:15:32+0000,2026-08-29T07:20:32+0000
100061,C0057,68.62,USD,pending,2026-08-29T05:00:32+0000,2026-08-29T07:21:32+0000
100062,C0050,40.84,USD,completed,2026-08-29T07:09:32+0000,2026-08-29T07:30:32+0000
100063,C0035,42.16,USD,completed,2026-08-29T05:26:32+0000,2026-08-29T07:30:32+0000
100064,C0067,125.41,USD,pending,2026-08-29T05:27:32+0000,2026-08-29T07:27:32+0000
100065,C0049,74.41,USD,pending,2026-08-29T05:30:32+0000,2026-08-29T07:35:32+0000
100066,C0027,20.32,USD,completed,2026-08-29T04:28:32+0000,2026-08-29T07:18:32+0000
100067,C0068,76.67,USD,refunded,2026-08-29T06:15:32+0000,2026-08-29T07:27:32+0000
100068,C0007,35.45,USD,completed,2026-08-29T04:34:32+0000,2026-08-29T07:32:32+0000
100069,C0059,54.23,USD,pending,2026-08-29T05:59:32+0000,2026-08-29T07:33:32+0000
100070,C0062,24.01,USD,pending,2026-08-29T04:55:32+0000,2026-08-29T07:19:32+0000
100071,C0019,49.42,USD,cancelled,2026-08-29T05:43:32+0000,2026-08-29T07:29:32+0000
100072,C0060,37.88,USD,cancelled,2026-08-29T07:09:32+0000,2026-08-29T07:27:32+0000
100073,C0064,29.72,USD,cancelled,2026-08-29T05:36:32+0000,2026-08-29T07:28:32+0000
100074,C0005,95.31,USD,refunded,2026-08-29T04:15:32+0000,2026-08-29T07:15:32+0000
100075,C0064,224.84,USD,cancelled,2026-08-29T05:13:32+0000,2026-08-29T07:35:32+0000
100076,C0011,78.34,USD,cancelled,2026-08-29T05:31:32+0000,2026-08-29T07:36:32+0000
100077,C0022,64.02,USD,completed,2026-08-29T06:41:32+0000,2026-08-29T07:28:32+0000
100078,C0070,29.22,USD,refunded,2026-08-29T05:10:32+0000,2026-08-29T07:18:32+0000
100079,C0064,49.94,USD,cancelled,2026-08-29T05:23:32+0000,2026-08-29T07:19:32+0000
100080,C0070,39.73,USD,cancelled,2026-08-29T05:35:32+0000,2026-08-29T07:24:32+0000
100081,C0059,20.55,USD,cancelled,2026-08-29T06:50:32+0000,2026-08-29T07:15:32+0000
100082,C0003,77.69,USD,pending,2026-08-29T05:27:32+0000,2026-08-29T07:29:32+0000
100083,C0006,55.57,USD,refunded,2026-08-29T04:56:32+0000,2026-08-29T07:30:32+0000
100084,C0042,38.5,USD,cancelled,2026-08-29T05:07:32+0000,2026-08-29T07:24:32+0000
100085,C0034,25.2,USD,refunded,2026-08-29T05:23:32+0000,2026-08-29T07:34:32+0000
100086,C0063,73.29,USD,completed,2026-08-29T06:03:32+0000,2026-08-29T07:16:32+0000
100087,C0013,120.58,USD,completed,2026-08-29T05:42:32+0000,2026-08-29T07:29:32+0000
100088,C0049,60.48,USD,completed,2026-08-29T06:34:32+0000,2026-08-29T07:30:32+0000
100089,C0007,43.36,USD,completed,2026-08-29T05:30:32+0000,2026-08-29T07:34:32+0000
100090,C0063,80.41,USD,completed,2026-08-29T06:10:32+0000,2026-08-29T07:35:32+0000
100091,C0019,33.52,USD,completed,2026-08-29T05:41:32+0000,2026-08-29T07:35:32+0000
100092,C0005,17.3,USD,completed,2026-08-29T05:32:32+0000,2026-08-29T07:21:32+0000
100093,C0045,147.17,USD,pending,2026-08-29T05:40:32+0000,2026-08-29T07:29:32+0000
100094,C0057,145.19,USD,cancelled,2026-08-29T05:18:32+0000,2026-08-29T07:20:32+0000
100095,C0001,48.61,USD,cancelled,2026-08-29T04:54:32+0000,2026-08-29T07:16:32+0000
100096,C0016,59.6,USD,completed,2026-08-29T05:38:32+0000,2026-08-29T07:20:32+0000
100097,C0073,143.6,USD,pending,2026-08-29T04:31:32+0000,2026-08-29T07:15:32+0000
100098,C0037,31.32,USD,cancelled,2026-08-29T05:36:32+0000,2026-08-29T07:36:32+0000
100099,C0030,61.31,USD,completed,2026-08-29T04:38:32+0000,2026-08-29T07:30:32+0000
100100,C0063,92.42,USD,cancelled,2026-08-29T05:10:32+0000,2026-08-29T07:33:32+0000
100101,C0010,149.31,USD,completed,2026-08-29T06:07:32+0000,2026-08-29T07:33:32+0000
100102,C0059,36.89,USD,completed,2026-08-29T05:24:32+0000,2026-08-29T07:23:32+0000
100103,C0009,36.65,USD,cancelled,2026-08-29T06:56:32+0000,2026-08-29T07:31:32+0000
100104,C0029,63.68,USD,completed,2026-08-29T04:54:32+0000,2026-08-29T07:19:32+0000
100105,C0029,41.72,USD,completed,2026-08-29T04:58:32+0000,2026-08-29T07:32:32+0000
100106,C0068,134.35,USD,completed,2026-08-29T04:39:32+0000,2026-08-29T07:20:32+0000
100107,C0011,37.98,USD,completed,2026-08-29T06:02:32+0000,2026-08-29T07:30:32+0000
100108,C0019,63.63,USD,completed,2026-08-29T06:28:32+0000,2026-08-29T07:34:32+0000
100109,C0024,63.16,USD,refunded,2026-08-29T06:45:32+0000,2026-08-29T07:33:32+0000
100110,C0073,49.42,USD,completed,2026-08-29T06:13:32+0000,2026-08-29T07:30:32+0000
100111,C0021,22.74,USD,cancelled,2026-08-29T07:06:32+0000,2026-08-29T07:26:32+0000
100112,C0070,118.81,USD,completed,2026-08-29T07:28:32+0000,2026-08-29T07:33:32+0000
100113,C0037,63.98,USD,completed,2026-08-29T07:19:32+0000,2026-08-29T07:29:32+0000
100114,C0042,83.64,USD,cancelled,2026-08-29T07:20:32+0000,2026-08-29T07:33:32+0000
100115,C0050,79.5,USD,completed,2026-08-29T05:49:32+0000,2026-08-29T07:27:32+0000
100116,C0054,42.12,USD,pending,2026-08-29T05:47:32+0000,2026-08-29T07:21:32+0000
100117,C0050,45.18,USD,completed,2026-08-29T05:44:32+0000,2026-08-29T07:28:32+0000
100118,C0008,45.07,USD,completed,2026-08-29T04:47:32+0000,2026-08-29T07:24:32+0000
100119,C0031,108.34,USD,refunded,2026-08-29T06:14:32+0000,2026-08-29T07:22:32+0000
100120,C0074,43.02,USD,completed,2026-08-29T06:44:32+0000,2026-08-29T07:32:32+0000
100121,C0024,16.66,USD,cancelled,2026-08-29T04:22:32+0000,2026-08-29T07:21:32+0000
100122,C0043,48.18,USD,completed,2026-08-29T06:02:32+0000,2026-08-29T07:34:32+0000
100123,C0009,34.61,USD,refunded,2026-08-29T06:10:32+0000,2026-08-29T07:22:32+0000
100124,C0066,95.67,USD,refunded,2026-08-29T06:28:32+0000,2026-08-29T07:22:32+0000
100125,C0067,39.97,USD,cancelled,2026-08-29T06:20:32+0000,2026-08-29T07:22:32+0000
100126,C0058,71.33,USD,completed,2026-08-29T06:24:32+0000,2026-08-29T07:27:32+0000
100127,C0066,55.45,USD,refunded,2026-08-29T06:15:32+0000,2026-08-29T07:18:32+0000
100128,C0030,62.93,USD,pending,2026-08-29T06:44:32+0000,2026-08-29T07:20:32+0000
100129,C0017,34.94,USD,refunded,2026-08-29T05:20:32+0000,2026-08-29T07:31:32+0000
100130,C0032,44.26,USD,pending,2026-08-29T05:41:32+0000,2026-08-29T07:33:32+0000
100131,C0063,54.9,USD,refunded,2026-08-29T05:56:32+0000,2026-08-29T07:31:32+0000
100132,C0002,73.12,USD,completed,2026-08-29T07:29:32+0000,2026-08-29T07:32:32+0000
100133,C0010,70.9,USD,completed,2026-08-29T06:00:32+0000,2026-08-29T07:19:32+0000
100134,C0025,29.89,USD,completed,2026-08-29T05:41:32+0000,2026-08-29T07:21:32+0000
100135,C0040,47.79,USD,completed,2026-08-29T06:31:32+0000,2026-08-29T07:20:32+0000
100136,C0051,96.74,USD,completed,2026-08-29T06:59:32+0000,2026-08-29T07:28:32+0000
100137,C0073,83.41,USD,cancelled,2026-08-29T04:38:32+0000,2026-08-29T07:17:32+0000
100138,C0060,42.0,USD,cancelled,2026-08-29T04:51:32+0000,2026-08-29T07:30:32+0000
100139,C0022,43.2,USD,pending,2026-08-29T06:57:32+0000,2026-08-29T07:22:32+0000
100140,C0059,133.69,USD,completed,2026-08-29T04:46:32+0000,2026-08-29T07:29:32+0000
100141,C0022,84.41,USD,pending,2026-08-29T07:07:32+0000,2026-08-29T07:19:32+0000
100142,C0066,22.31,USD,pending,2026-08-29T05:03:32+0000,2026-08-29T07:24:32+0000
100143,C0005,179.92,USD,refunded,2026-08-29T07:34:32+0000,2026-08-29T07:36:32+0000
100144,C0056,83.59,USD,refunded,2026-08-29T06:40:32+0000,2026-08-29T07:19:32+0000
100145,C0030,66.34,USD,refunded,2026-08-29T06:09:32+0000,2026-08-29T07:30:32+0000
100146,C0022,43.61,USD,completed,2026-08-29T06:35:32+0000,2026-08-29T07:29:32+0000
100147,C0029,31.36,USD,refunded,2026-08-29T04:47:32+0000,2026-08-29T07:33:32+0000
100148,C0044,40.06,USD,pending,2026-08-29T07:25:32+0000,2026-08-29T07:34:32+0000
100149,C0062,36.97,USD,pending,2026-08-29T06:48:32+0000,2026-08-29T07:19:32+0000
100150,C0031,30.09,USD,completed,2026-08-29T06:05:32+0000,2026-08-29T07:19:32+0000
